AmountID;Amount
1;789.41
2;768.50
3;297.59
4;643.40
5;600.89
6;759.13
7;713.63
8;929.85
9;855.71
10;407.58
11;927.05
12;291.93
13;30.81
14;672.45
15;860.62
16;862.13
17;764.67
18;653.30
19;423.72
20;358.64
21;523.38
22;731.35
23;463.94
24;392.11
25;590.36
26;798.51
27;957.50
28;257.76
29;34.11
30;888.76
31;344.77
32;708.53
33;201.26
34;203.61
35;270.62
36;394.30
37;80.59
38;790.87
39;37.66
40;843.73
41;767.93
42;95.02
43;285.35
44;976.11
45;451.34
46;246.53
47;327.41
48;283.07
49;751.47
50;777.13
51;516.12
52;872.48
53;172.85
54;839.04
55;193.05
56;520.18
57;188.59
58;386.63
59;452.76
60;749.22
61;52.88
62;231.41
63;688.49
64;110.68
65;873.95
66;582.91
67;47.13
68;255.44
69;403.19
70;361.65
71;114.26
72;562.00
73;85.42
74;313.49
75;419.83
76;841.97
77;530.06
78;989.26
79;359.69
80;461.73
81;243.07
82;198.21
83;289.05
84;556.63
85;945.67
86;279.37
87;440.18
88;572.27
89;297.48
90;141.08
91;528.51
92;726.36
93;678.56
94;835.69
95;538.84
96;724.22
97;548.23
98;463.56
99;106.47
100;581.22
101;926.43
102;238.88
103;907.02
104;946.08
105;898.01
106;438.13
107;222.68
108;220.55
109;79.44
110;271.29
111;803.24
112;892.99
113;233.40
114;105.98
115;385.29
116;226.07
117;667.19
118;654.77
119;934.80
120;701.90
121;947.67
122;727.65
123;794.66
124;192.29
125;27.69
126;212.61
127;371.77
128;765.84
129;326.63
130;440.42
131;166.02
132;649.13
133;441.38
134;192.06
135;707.58
136;124.93
137;742.91
138;561.29
139;907.96
140;356.83
141;238.47
142;808.79
143;105.81
144;276.56
145;289.69
146;979.43
147;498.57
148;798.35
149;152.88
150;939.47
151;297.60
152;872.44
153;209.34
154;566.82
155;86.45
156;539.25
157;640.79
158;353.98
159;839.05
160;475.03
161;57.77
162;161.01
163;828.22
164;590.03
165;427.27
166;203.41
167;263.22
168;110.98
169;790.24
170;38.81
171;859.80
172;991.29
173;908.87
174;665.35
175;486.05
176;744.13
177;919.24
178;704.65
179;163.07
180;446.52
181;705.72
182;772.62
183;290.67
184;735.63
185;540.16
186;382.58
187;255.26
188;292.63
189;181.02
190;796.90
191;219.68
192;583.76
193;825.54
194;485.60
195;572.65
196;623.54
197;711.40
198;943.54
199;289.63
200;921.12
201;553.50
202;201.27
203;525.79
204;146.55
205;396.13
206;158.90
207;607.39
208;571.63
209;301.10
210;777.32
211;768.02
212;816.86
213;878.53
214;76.43
215;512.67
216;734.99
217;678.31
218;156.18
219;404.45
220;900.14
221;997.73
222;753.09
223;936.28
224;51.19
225;823.36
226;992.16
227;833.07
228;538.37
229;273.97
230;572.08
231;208.50
232;822.62
233;685.06
234;450.26
235;695.23
236;38.88
237;195.64
238;193.55
239;257.02
240;856.38
241;82.87
242;990.22
243;957.22
244;751.78
245;341.36
246;879.35
247;199.02
248;514.30
249;520.49
250;244.88
251;190.09
252;25.78
253;335.15
254;503.31
255;636.58
256;903.39
257;293.44
258;666.43
259;539.46
260;397.60
261;257.95
262;603.32
263;70.25
264;744.14
265;136.64
266;479.67
267;42.44
268;494.84
269;223.84
270;836.57
271;369.80
272;679.36
273;642.41
274;245.79
275;113.61
276;57.65
277;73.85
278;564.19
279;267.05
280;511.06
281;364.83
282;785.74
283;426.83
284;769.04
285;385.93
286;96.76
287;179.79
288;578.03
289;830.97
290;796.91
291;705.08
292;509.05
293;363.98
294;256.87
295;761.68
296;111.62
297;424.82
298;781.94
299;755.09
300;452.81
301;174.27
302;140.19
303;357.16
304;352.36
305;514.57
306;553.61
307;128.80
308;577.59
309;842.55
310;61.27
311;706.20
312;854.92
313;398.97
314;364.42
315;998.66
316;548.88
317;949.82
318;255.46
319;108.06
320;194.09
321;33.40
322;274.89
323;438.55
324;660.62
325;390.15
326;853.30
327;538.67
328;769.30
329;341.52
330;459.34
331;687.43
332;689.63
333;138.76
334;68.57
335;581.06
336;990.24
337;962.95
338;492.94
339;557.64
340;649.35
341;943.36
342;526.56
343;173.21
