AmountID;CustomerID;EmployeeID
1;1;1
2;2;2
3;3;3
4;4;4
5;5;5
6;6;6
7;7;7
8;8;8
9;9;9
10;10;10
11;11;11
12;12;12
13;13;13
14;14;14
15;15;15
16;16;16
17;17;17
18;18;13
19;19;18
20;20;19
21;21;20
22;22;21
23;23;4
24;24;22
25;25;23
26;26;24
27;27;25
28;28;26
29;29;27
30;30;28
31;31;29
32;32;30
33;33;31
34;34;32
35;35;33
36;36;34
37;37;35
38;38;36
39;39;37
40;40;38
41;41;39
42;42;40
43;43;41
44;44;42
45;45;43
46;46;44
47;47;45
48;48;46
49;49;27
50;50;47
51;51;48
52;52;49
53;53;50
54;54;51
55;55;36
56;56;52
57;57;5
58;58;53
59;59;54
60;60;55
61;61;10
62;62;27
63;63;56
64;4;23
65;64;57
66;65;58
67;66;34
68;67;40
69;68;59
70;69;5
71;70;59
72;71;60
73;72;61
74;73;21
75;74;62
76;75;61
77;76;63
78;77;64
79;78;52
80;79;65
81;80;29
82;81;27
83;82;66
84;83;67
85;84;68
86;85;69
87;86;45
88;87;56
89;88;70
90;89;59
91;90;71
92;91;72
93;92;73
94;93;21
95;94;74
96;95;75
97;96;76
98;97;38
99;98;77
100;99;78
101;100;79
102;101;80
103;102;44
104;103;81
105;104;82
106;105;83
107;106;84
108;107;50
109;108;85
110;109;86
111;110;70
112;111;26
113;112;87
114;113;88
115;114;89
116;115;90
117;116;57
118;117;91
119;118;92
120;119;25
121;120;93
122;121;94
123;122;95
124;123;67
125;124;96
126;125;97
127;126;98
128;127;99
129;128;100
130;129;18
131;130;64
132;131;101
133;132;64
134;133;102
135;134;103
136;135;104
137;136;79
138;137;105
139;138;23
140;139;47
141;140;11
142;141;106
143;142;67
144;143;26
145;144;107
146;145;55
147;146;33
148;147;108
149;148;109
150;149;110
151;150;111
152;151;25
153;152;112
154;153;26
155;154;31
156;155;1
157;156;105
158;157;16
159;158;60
160;159;113
161;160;56
162;161;13
163;162;54
164;163;114
165;164;65
166;165;98
167;166;115
168;167;116
169;168;41
170;169;117
171;170;43
172;171;116
173;172;118
174;173;68
175;174;90
176;175;5
177;176;63
178;177;119
179;178;120
180;179;11
181;180;33
182;181;43
183;182;9
184;183;97
185;184;11
186;185;67
187;186;121
188;187;122
189;188;123
190;189;44
191;190;56
192;191;39
193;192;124
194;193;116
195;194;125
196;195;124
197;196;126
198;197;66
199;183;9
200;198;111
201;199;7
202;200;127
203;201;100
204;202;128
205;203;52
206;204;31
207;205;129
208;206;29
209;207;130
210;208;131
211;209;3
212;210;132
213;211;47
214;212;86
215;213;133
216;214;134
217;215;109
218;216;135
219;217;76
220;218;136
221;219;79
222;220;137
223;221;78
224;222;9
225;223;138
226;224;32
227;225;46
228;226;37
229;227;139
230;228;63
231;229;140
232;230;65
233;231;141
234;232;68
235;233;77
236;234;142
237;235;122
238;236;6
239;237;90
240;238;3
241;239;43
242;240;41
243;241;60
244;242;6
245;243;74
246;244;38
247;245;139
248;246;90
249;247;3
250;248;143
251;249;118
252;250;13
253;251;60
254;252;81
255;253;144
256;254;104
257;255;76
258;256;61
259;257;110
260;258;102
261;259;145
262;260;146
263;261;43
264;262;81
265;263;80
266;264;147
267;265;133
268;266;87
269;267;16
270;268;106
271;269;35
272;270;48
273;271;12
274;272;39
275;273;133
276;274;125
277;275;148
278;276;93
279;277;149
280;278;45
281;279;9
282;280;30
283;281;76
284;282;106
285;283;90
286;284;109
287;285;81
288;286;79
289;287;20
290;288;122
291;289;6
292;290;150
293;291;107
294;292;70
295;293;93
296;294;62
297;295;59
298;296;30
299;197;151
300;297;152
301;298;153
302;299;10
303;300;23
304;301;75
305;302;72
306;303;154
307;304;126
308;305;145
309;306;12
310;307;37
311;308;155
312;309;149
313;310;146
314;311;127
315;312;145
316;212;28
317;313;66
318;314;156
319;315;98
320;316;67
321;317;110
322;318;145
323;319;133
324;320;135
325;321;157
326;322;12
327;323;158
328;324;31
329;325;159
330;326;160
331;327;91
332;328;101
333;329;22
334;330;153
335;331;161
336;332;126
337;333;107
338;334;8
339;335;106
340;336;10
341;337;5
342;338;31
343;339;162
344;340;76
345;341;163
346;342;75
347;343;163
348;344;146
349;345;92
350;346;156
351;347;18
352;348;10
353;349;18
354;350;110
355;351;24
356;352;164
357;353;153
358;354;80
359;47;165
360;355;8
361;356;166
362;357;62
363;358;137
364;359;91
365;360;143
366;361;96
367;362;167
368;363;101
369;364;121
370;365;42
371;366;96
372;367;158
373;368;101
374;369;2
375;370;159
376;371;105
377;372;75
378;373;26
379;374;91
380;375;168
381;376;107
382;377;12
383;378;105
384;379;96
385;380;125
386;381;59
387;382;2
388;383;146
389;384;169
390;385;49
391;386;2
392;207;58
393;387;167
394;388;88
395;389;170
396;390;34
397;391;111
398;392;6
399;393;171
400;394;84
401;395;76
402;396;36
403;397;28
404;398;148
405;399;144
406;400;54
407;401;108
408;402;172
409;403;112
410;404;173
411;405;20
412;406;80
413;407;31
414;408;45
415;409;174
416;410;88
417;411;39
418;412;175
