+-------+--------------------+-------------------------+------------+---------+-------+---------+-----------+-------------+
|Record |exchange_right_id   |Country                  |Currency    |Amount   |Code   |Rate     |Valid_to   |Valid_from   |
+-------+--------------------+-------------------------+------------+---------+-------+---------+-----------+-------------+
|# 1    |2724                |United Arab Emirates     |dirham      |1.0      |AED    |5.788    |           |07-18-2007   |
|# 2    |2725                |Afghanistan              |afghani     |100.0    |AFN    |42.859   |           |07-18-2007   |
|# 3    |2726                |Albania                  |lek         |100.0    |ALL    |23.612   |           |07-18-2007   |
|# 4    |2727                |Armenia                  |dram        |100.0    |AMD    |6.271    |           |07-18-2007   |
|# 5    |2728                |Netherlands Antilles     |guilder     |1.0      |ANG    |12.078   |           |07-18-2007   |
|# 6    |2729                |Angola                   |kwanza      |100.0    |AOA    |28.426   |           |07-18-2007   |
|# 7    |2730                |Argentina                |peso        |1.0      |ARS    |6.88     |           |07-18-2007   |
|# 8    |2732                |Aruba                    |guilder     |1.0      |AWG    |11.876   |           |07-18-2007   |
|# 9    |2733                |Azerbaijan               |manat       |1.0      |AZN    |24.811   |           |07-18-2007   |
|# 10   |2734                |Bosnia and Herzegovina   |mark        |1.0      |BAM    |14.682   |           |07-18-2007   |
|# 11   |2735                |Barbados                 |dollar      |1.0      |BBD    |10.682   |           |07-18-2007   |
|# 12   |2736                |Bangladesh               |taka        |100.0    |BDT    |30.898   |           |07-18-2007   |
|# 13   |2737                |Bulgaria                 |lev         |1.0      |BGN    |14.681   |           |07-18-2007   |
|# 14   |2738                |Bahrain                  |dinar       |1.0      |BHD    |56.393   |           |07-18-2007   |
|# 15   |2739                |Burundi                  |franc       |100.0    |BIF    |1.975    |           |07-18-2007   |
|# 16   |2740                |Bermuda                  |dollar      |1.0      |BMD    |21.258   |           |07-18-2007   |
|# 17   |2741                |Brunei                   |dollar      |1.0      |BND    |13.884   |           |07-18-2007   |
|# 18   |2742                |Bolivia                  |boliviano   |1.0      |BOB    |2.718    |           |07-18-2007   |
|# 19   |2743                |Brazil                   |real        |1.0      |BRL    |11.033   |           |07-18-2007   |
|# 20   |2744                |Bahamas                  |dollar      |1.0      |BSD    |21.258   |           |07-18-2007   |
|# 21   |2745                |Bhutan                   |ngultrum    |100.0    |BTN    |52.385   |           |07-18-2007   |
|# 22   |2746                |Botswana                 |pula        |1.0      |BWP    |3.403    |           |07-18-2007   |
|# 23   |2747                |Belarus                  |ruble       |100.0    |BYR    |0.991    |           |07-18-2007   |
|# 24   |2748                |Belize                   |dollar      |1.0      |BZD    |10.846   |           |07-18-2007   |
|# 25   |2750                |Congo Dem.               |franc       |100.0    |CDF    |3.83     |           |07-18-2007   |
|# 26   |2752                |Chile                    |peso        |100.0    |CLP    |4.03     |           |07-18-2007   |
|# 27   |2754                |Colombia                 |peso        |1000.0   |COP    |10.853   |           |07-18-2007   |
|# 28   |2755                |Costa Rica               |colon       |100.0    |CRC    |4.116    |           |07-18-2007   |
|# 29   |2756                |Cuba                     |peso        |1.0      |CUP    |21.258   |           |07-18-2007   |
|# 30   |2757                |Cape Verde               |escudo      |100.0    |CVE    |25.846   |           |07-18-2007   |
|# 31   |2759                |Djibouti                 |franc       |100.0    |DJF    |12.082   |           |07-18-2007   |
