10248|VINET|5|4.7.1996 0:00:00|1.8.1996 0:00:00|16.7.1996 0:00:00|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France
10249|TOMSP|6|5.7.1996 0:00:00|16.8.1996 0:00:00|10.7.1996 0:00:00|1|11.61|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Germany
10250|HANAR|4|8.7.1996 0:00:00|5.8.1996 0:00:00|12.7.1996 0:00:00|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil
10251|VICTE|3|8.7.1996 0:00:00|5.8.1996 0:00:00|15.7.1996 0:00:00|1|41.34|Victuailles en stock|2, rue du Commerce|Lyon||69004|France
10252|SUPRD|4|9.7.1996 0:00:00|6.8.1996 0:00:00|11.7.1996 0:00:00|2|51.30|Suprêmes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10253|HANAR|3|10.7.1996 0:00:00|24.7.1996 0:00:00|16.7.1996 0:00:00|2|58.17|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil
10254|CHOPS|5|11.7.1996 0:00:00|8.8.1996 0:00:00|23.7.1996 0:00:00|2|22.98|Chop-suey Chinese|Hauptstr. 31|Bern||3012|Switzerland
10255|RICSU|9|12.7.1996 0:00:00|9.8.1996 0:00:00|15.7.1996 0:00:00|3|148.33|Richter Supermarkt|Starenweg 5|Genève||1204|Switzerland
10256|WELLI|3|15.7.1996 0:00:00|12.8.1996 0:00:00|17.7.1996 0:00:00|2|13.97|Wellington Importadora|Rua do Mercado, 12|Resende|SP|08737-363|Brazil
10257|HILAA|4|16.7.1996 0:00:00|13.8.1996 0:00:00|22.7.1996 0:00:00|3|81.91|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10258|ERNSH|1|17.7.1996 0:00:00|14.8.1996 0:00:00|23.7.1996 0:00:00|1|140.51|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10259|CENTC|4|18.7.1996 0:00:00|15.8.1996 0:00:00|25.7.1996 0:00:00|3|3.25|Centro comercial Moctezuma|Sierras de Granada 9993|México D.F.||05022|Mexico
