OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10298|HUNGO|6|05.09.1996|03.10.1996|11.09.1996|2|168.22|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10309|HUNGO|3|19.09.1996|17.10.1996|23.10.1996|1|47.3|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10335|HUNGO|7|22.10.1996|19.11.1996|24.10.1996|2|42.11|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10373|HUNGO|4|05.12.1996|02.01.1997|11.12.1996|3|124.12|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10380|HUNGO|8|12.12.1996|09.01.1997|16.01.1997|3|35.03|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10429|HUNGO|3|29.01.1997|12.03.1997|07.02.1997|2|56.63|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10503|HUNGO|6|11.04.1997|09.05.1997|16.04.1997|2|16.74|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10516|HUNGO|2|24.04.1997|22.05.1997|01.05.1997|3|62.78|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10567|HUNGO|1|12.06.1997|10.07.1997|17.06.1997|1|33.97|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10646|HUNGO|9|27.08.1997|08.10.1997|03.09.1997|3|142.33|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10661|HUNGO|7|09.09.1997|07.10.1997|15.09.1997|3|17.55|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10687|HUNGO|9|30.09.1997|28.10.1997|30.10.1997|2|296.43|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10701|HUNGO|6|13.10.1997|27.10.1997|15.10.1997|3|220.31|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10712|HUNGO|3|21.10.1997|18.11.1997|31.10.1997|1|89.93|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10736|HUNGO|9|11.11.1997|09.12.1997|21.11.1997|2|44.1|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10897|HUNGO|3|19.02.1998|19.03.1998|25.02.1998|2|603.54|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10912|HUNGO|2|26.02.1998|26.03.1998|18.03.1998|2|580.91|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
10985|HUNGO|2|30.03.1998|27.04.1998|02.04.1998|1|91.51|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
11063|HUNGO|3|30.04.1998|28.05.1998|06.05.1998|2|81.73|Hungry Owl All-Night Grocers|8 Johnstown Road|Cork|Co. Cork||Ireland
