OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10250|HANAR|4|08.07.1996|05.08.1996|12.07.1996|2|65.83|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil
10253|HANAR|3|10.07.1996|24.07.1996|16.07.1996|2|58.17|Hanari Carnes|Rua do Paço, 67|Rio de Janeiro|RJ|05454-876|Brazil
10256|WELLI|3|15.07.1996|12.08.1996|17.07.1996|2|13.97|Wellington Importadora|Rua do Mercado, 12|Resende|SP|08737-363|Brazil
10261|QUEDE|4|19.07.1996|16.08.1996|30.07.1996|2|3.05|Que Delícia|Rua da Panificadora, 12|Rio de Janeiro|RJ|02389-673|Brazil
10287|RICAR|8|22.08.1996|19.09.1996|28.08.1996|3|12.76|Ricardo Adocicados|Av. Copacabana, 267|Rio de Janeiro|RJ|02389-890|Brazil
10290|COMMI|8|27.08.1996|24.09.1996|03.09.1996|1|79.7|Comércio Mineiro|Av. dos Lusíadas, 23|Sao Paulo|SP|05432-043|Brazil
10291|QUEDE|6|27.08.1996|24.09.1996|04.09.1996|2|6.4|Que Delícia|Rua da Panificadora, 12|Rio de Janeiro|RJ|02389-673|Brazil
10292|TRADH|1|28.08.1996|25.09.1996|02.09.1996|2|1.35|Tradiçao Hipermercados|Av. Ines de Castro, 414|Sao Paulo|SP|05634-030|Brazil
10299|RICAR|4|06.09.1996|04.10.1996|13.09.1996|2|29.76|Ricardo Adocicados|Av. Copacabana, 267|Rio de Janeiro|RJ|02389-890|Brazil
10347|FAMIA|4|06.11.1996|04.12.1996|08.11.1996|3|3.1|Familia Arquibaldo|Rua Orós, 92|Sao Paulo|SP|05442-030|Brazil
10372|QUEEN|5|04.12.1996|01.01.1997|09.12.1996|2|890.78|Queen Cozinha|Alameda dos Canarios, 891|Sao Paulo|SP|05487-020|Brazil
10379|QUEDE|2|11.12.1996|08.01.1997|13.12.1996|1|45.03|Que Delícia|Rua da Panificadora, 12|Rio de Janeiro|RJ|02389-673|Brazil
10386|FAMIA|9|18.12.1996|01.01.1997|25.12.1996|3|13.99|Familia Arquibaldo|Rua Orós, 92|Sao Paulo|SP|05442-030|Brazil
10406|QUEEN|7|07.01.1997|18.02.1997|13.01.1997|1|108.04|Queen Cozinha|Alameda dos Canarios, 891|Sao Paulo|SP|05487-020|Brazil
10414|FAMIA|2|14.01.1997|11.02.1997|17.01.1997|3|21.48|Familia Arquibaldo|Rua Orós, 92|Sao Paulo|SP|05442-030|Brazil
10420|WELLI|3|21.01.1997|18.02.1997|27.01.1997|1|44.12|Wellington Importadora|Rua do Mercado, 12|Resende|SP|08737-363|Brazil
10421|QUEDE|8|21.01.1997|04.03.1997|27.01.1997|1|99.23|Que Delícia|Rua da Panificadora, 12|Rio de Janeiro|RJ|02389-673|Brazil
10423|GOURL|6|23.01.1997|06.02.1997|24.02.1997|3|24.5|Gourmet Lanchonetes|Av. Brasil, 442|Campinas|SP|04876-786|Brazil
10447|RICAR|4|14.02.1997|14.03.1997|07.03.1997|2|68.66|Ricardo Adocicados|Av. Copacabana, 267|Rio de Janeiro|RJ|02389-890|Brazil
10466|COMMI|4|06.03.1997|03.04.1997|13.03.1997|1|11.93|Comércio Mineiro|Av. dos Lusíadas, 23|Sao Paulo|SP|05432-043|Brazil
