CustomerState;NumberOfTransactions;MinAmount;MaxAmount;AverageAmount;SumOfAmounts
Alabama;2003;20.00;999.00;496.90;995283.88
Alaska;2011;20.87;999.03;517.34;1040362.56
Arizona;1903;20.31;999.61;505.67;962288.45
Arkansas;2028;20.15;999.82;503.12;1020326.02
California;1973;20.17;999.74;506.52;999361.84
Colorado;2071;20.36;999.19;509.88;1055961.42
Connecticut;1935;20.24;999.83;493.42;954759.69
Delaware;2053;20.31;998.94;523.47;1074692.71
Florida;2042;20.95;999.69;514.48;1050574.49
Georgia;1778;20.49;999.96;517.12;919433.32
Hawaii;2138;20.30;999.95;519.92;1111588.01
Idaho;1895;20.07;999.19;519.67;984774.85
Illinois;1977;20.29;999.79;500.82;990129.24
Indiana;2069;20.54;999.43;503.69;1042137.14
Iowa;1874;20.28;999.67;519.43;973416.01
Kansas;1969;22.22;999.84;498.38;981317.28
Kentucky;2127;20.13;999.49;515.11;1095636.15
Louisiana;1974;20.38;999.73;496.24;979574.33
Maine;2049;20.32;998.42;509.58;1044119.89
Maryland;1892;20.47;999.81;507.26;959743.54
Massachusetts;2059;20.20;999.92;507.95;1045861.93
Michigan;2085;20.82;999.86;521.46;1087245.31
Minnesota;2024;20.33;999.44;516.67;1045747.66
Mississippi;2035;20.80;998.56;519.24;1056650.80
Missouri;1855;20.47;999.54;507.31;941053.56
Montana;1980;20.55;999.42;510.27;1010339.58
Nebraska;1883;20.48;999.13;516.76;973053.66
Nevada;1945;20.18;999.37;508.42;988873.24
New Hampshire;2010;20.73;999.93;511.21;1027540.67
New Jersey;2226;20.54;999.35;509.50;1134140.17
New Mexico;2154;20.86;999.56;517.33;1114321.91
New York;2029;20.27;998.75;521.42;1057952.72
North Carolina;2139;20.20;999.40;504.90;1079976.09
North Dakota;1989;20.04;999.49;514.44;1023230.22
Ohio;1790;20.03;999.85;508.04;909385.19
Oklahoma;2027;20.25;999.82;515.48;1044874.28
Oregon;2136;20.39;999.97;501.55;1071303.25
Pennsylvania;2049;20.20;998.49;508.27;1041452.30
Rhode Island;1998;21.00;999.75;514.03;1027031.50
South Carolina;1937;20.57;999.59;514.64;996865.68
South Dakota;1998;20.20;999.67;511.29;1021566.05
Tennessee;2146;20.03;999.58;503.69;1080910.07
Texas;1894;21.96;999.96;515.38;976123.47
Utah;2008;20.21;999.99;510.67;1025425.30
Vermont;2198;20.06;999.61;498.17;1094974.35
Virginia;1939;20.26;999.28;500.09;969665.78
Washington;1990;20.48;999.56;514.11;1023085.01
West Virginia;1900;20.61;999.06;499.03;948151.01
Wisconsin;1990;20.19;999.84;510.49;1015884.91
Wyoming;1826;20.03;999.91;511.53;934045.13
