AmountID;Amount;EmployeeID;CustomerID
1;789.41;1;1
2;768.50;2;2
3;297.59;3;3
4;643.40;4;4
5;600.89;5;5
6;759.13;6;6
7;713.63;7;7
8;929.85;8;8
9;855.71;9;9
10;407.58;10;10
11;927.05;11;11
12;291.93;12;12
13;30.81;13;13
14;672.45;14;14
15;860.62;15;15
18;653.30;13;18
23;463.94;4;23
57;188.59;5;57
61;52.88;10;61
70;361.65;5;69
141;238.47;11;140
156;539.25;1;155
162;161.01;13;161
176;744.13;5;175
180;446.52;11;179
183;290.67;9;182
185;540.16;11;184
199;289.63;9;183
201;553.50;7;199
211;768.02;3;209
224;51.19;9;222
238;193.55;6;236
240;856.38;3;238
244;751.78;6;242
249;520.49;3;247
252;25.78;13;250
273;642.41;12;271
281;364.83;9;279
291;705.08;6;289
302;140.19;10;299
309;842.55;12;306
326;853.30;12;322
338;492.94;8;334
340;649.35;10;336
341;943.36;5;337
352;326.58;10;348
360;365.64;8;355
374;264.82;2;369
382;962.22;12;377
387;547.39;2;382
391;269.20;2;386
398;832.02;6;392
450;666.46;10;399
456;679.68;1;447
458;720.57;2;449
468;559.14;14;459
477;226.29;3;468
483;346.20;11;474
495;737.70;7;485
500;345.55;5;490
503;842.71;14;493
528;40.68;12;517
541;764.61;1;530
555;261.39;4;543
587;129.77;2;575
601;526.03;4;588
614;566.58;1;601
622;40.13;10;607
643;169.84;8;628
667;640.29;9;651
676;922.18;12;660
703;245.28;1;687
713;848.08;4;697
714;531.37;7;698
725;145.09;14;709
735;341.15;10;719
756;378.81;3;739
757;284.51;10;740
761;546.51;9;744
771;268.46;6;754
777;522.69;14;760
799;672.64;13;782
803;452.87;7;786
806;549.89;15;789
817;594.26;2;798
832;628.16;2;811
841;938.52;2;820
865;261.35;5;843
877;598.64;1;855
888;324.43;1;866
897;875.64;5;874
915;419.77;4;892
947;672.33;2;924
950;151.87;8;927
964;335.82;9;941
977;182.27;3;953
982;352.04;13;374
984;722.55;14;959
997;576.67;6;971
1003;833.46;11;312
1018;295.09;15;991
1043;310.07;5;1015
1063;545.58;8;1035
1107;131.58;4;1077
1123;571.55;6;1092
1126;894.54;3;1094
1130;360.83;13;1098
1131;260.37;15;1099
1145;52.69;8;1112
1165;939.66;5;1130
1166;825.15;11;1131
1177;256.64;5;1142
1190;116.33;7;1155
1194;114.47;8;1158
1201;676.14;15;1164
1205;214.25;15;1167
1218;415.90;1;1180
1224;910.28;14;1184
1254;743.02;1;1213
1257;514.68;11;1216
1285;320.86;13;1244
1320;620.71;3;1274
1344;270.03;7;1298
1357;379.71;5;1311
1410;348.77;2;954
1417;621.35;14;1363
1422;597.19;5;1367
1430;869.54;12;1375
1442;329.11;12;1387
1445;959.00;2;1390
1455;646.10;13;1400
1460;312.08;13;1405
1495;80.32;8;1437
1505;774.78;5;1446
1533;914.14;10;1473
1542;880.03;10;1482
1576;792.36;11;1514
1586;945.51;3;1524
1610;952.12;8;1544
1619;370.63;5;1553
1632;221.72;11;1565
1667;382.89;10;1598
1677;388.87;3;1606
1681;722.57;8;1610
1695;25.93;7;1624
1696;697.28;2;1625
1703;812.73;8;1631
1725;970.08;8;1650
1748;403.67;6;1440
1792;229.37;6;1707
1800;121.73;15;1715
1837;484.03;12;1746
1844;873.58;9;1753
1857;155.62;8;1766
1865;262.43;14;1774
1867;885.18;13;1776
1881;371.61;3;1100
1889;419.61;9;1796
1894;841.70;4;1801
1898;147.96;5;1805
1901;163.14;4;1807
1918;425.21;13;1824
1920;343.82;3;437
1941;61.88;14;1844
1951;893.19;12;1853
1994;33.79;14;1893
2008;796.80;7;1907
2020;566.05;8;1919
