AmountID;Amount;CustomerID;EmployeeID
1;789.41;1;1
2;768.50;2;2
3;297.59;3;3
4;643.40;4;4
5;600.89;5;5
6;759.13;6;6
7;713.63;7;7
8;929.85;8;8
9;855.71;9;9
10;407.58;10;10
11;927.05;11;11
12;291.93;12;12
13;30.81;13;13
14;672.45;14;14
15;860.62;15;15
64;110.68;4;23
444;85.31;9;147
1950;229.97;6;198
2266;450.43;8;117
2694;636.11;4;94
3197;287.20;2;150
3560;51.73;11;177
4095;99.55;5;159
4636;324.82;2;184
10027;38.78;7;94
19920;778.74;1;189
20487;89.37;13;90
21414;92.15;8;198
22197;805.37;6;188
22764;30.08;5;84
24050;929.15;9;69
25696;759.45;5;182
28111;572.15;8;22
29167;387.28;4;53
32469;189.04;12;78
32740;790.00;4;114
33721;666.66;5;101
34069;180.41;11;134
35522;804.89;10;119
36880;239.55;2;75
38271;236.06;13;119
39098;122.01;14;130
39513;24.17;7;172
40123;357.89;5;57
42144;432.76;1;143
42909;176.55;15;143
43125;815.32;5;110
44063;124.69;2;193
46212;116.73;8;119
46634;809.90;12;39
50035;974.93;11;125
51156;144.99;6;17
51760;578.40;3;122
57467;235.13;8;102
58054;65.42;14;46
58149;854.58;4;144
61373;769.37;13;150
61688;558.46;8;24
66214;658.58;5;175
68949;758.12;8;158
69009;289.37;5;117
69861;424.30;10;77
70868;381.81;11;74
72212;364.13;2;37
72263;713.18;11;182
72293;359.69;3;94
73356;729.62;9;30
76017;789.33;14;183
77882;993.15;15;12
79289;609.80;11;99
79771;682.14;12;28
79980;121.32;6;14
81249;558.33;10;86
84194;226.65;15;159
84590;670.55;14;95
87504;746.69;8;158
88057;836.88;2;17
91667;447.11;3;124
92442;193.38;4;57
95875;516.52;12;123
96004;266.42;2;165
96267;306.61;9;188
96624;376.20;2;7
96627;239.94;14;32
98920;39.14;1;12
