name|type|low|high|elementary_school|middle_school|high_school
11TH|St|22500|22899|Newhall|Placerita JH|Hart HS
12TH|St|22221|22699|Newhall|Placerita JH|Hart HS
13TH|Pl|22600|22699|Newhall|Placerita JH|Hart HS
13TH|St|22400|22899|Newhall|Placerita JH|Hart HS
14TH|St|22500|22899|Newhall|Placerita JH|Hart HS
15TH|St|22500|22899|Wiley Cyn|Placerita JH|Hart HS
16TH|St|22940|23099|Wiley Cyn|Placerita JH|Hart HS
16TH|St|23100|23599|Newhall|Placerita JH|Hart HS
2ND|St|22200|22499|Old Orchard|Placerita JH|Hart HS
3RD|St|22200|22499|Old Orchard|Placerita JH|Hart HS
4TH|St|22200|22499|Old Orchard|Placerita JH|Hart HS
4TH|St|22500|22599|Newhall|Placerita JH|Hart HS
5TH|St|22200|22499|Peachland|Placerita JH|Hart HS
5TH|St|22500|22599|Newhall|Placerita JH|Hart HS
6TH|St|22200|22499|Peachland|Placerita JH|Hart HS
6TH|St|22500|22699|Newhall|Placerita JH|Hart HS
8TH|St|22500|23099|Newhall|Placerita JH|Hart HS
8TH|St|23100|23437|Peachland|Placerita JH|Hart HS
9TH|St|22500|24499|Newhall|Placerita JH|Hart HS
Abajo|Dr|26675|26686|Emblem|Arroyo Seco JH|Saugus HS
Abbey Glen|Pl|23400|23499|Northpark|Rio Norte JH|Valencia HS
Abdale|St|19200|26229|Valley View|La Mesa JH|Golden Valley HS
Abelia|Rd|29100|30457|Pinetree|Sierra Vista JH|Canyon HS
Able|St|0|0|Sulphur Springs|Sierra Vista JH|Canyon HS
Abordo|Dr|22400|22437|Highlands|Arroyo Seco JH|Saugus HS
Acacia|Ct|22800|22861|Mountain View|Rio Norte JH|Valencia HS
Acacia|Dr|24000|27498|Bridgeport|Rio Norte JH|Valencia HS
Academy|Pl|0|0|Emblem|Arroyo Seco JH|Saugus HS
Acanthus|Wy|21402|21410|Rio Vista|La Mesa JH|Golden Valley HS
Acedia|Ct|20401|20451|Rio Vista|La Mesa JH|Golden Valley HS
Ackerman|Av|19300|19415|Valley View|La Mesa JH|Golden Valley HS
Acorn|Ct|24540|24549|Peachland|Placerita JH|Hart HS
Ada|St|15600|25841|Pinetree|Sierra Vista JH|Canyon HS
Adamsboro|Dr|23500|23863|Wiley Cyn|Rancho Pico JH|West Ranch HS
Aden|Av|24500|24899|Newhall|Placerita JH|Hart HS
Almendra|Dr|25558|25685|Valencia Valley|Placerita JH|Hart HS
Alta|Dr|25700|25792|Valencia Valley|Placerita JH|Hart HS
Alta Knoll|Dr|27400|27561|Rosedell|Arroyo Seco JH|Saugus HS
Alta Madera - All Numbers|Dr|23400|23799|Valencia Valley|Placerita JH|Hart HS
Alta Madera - Even Number|Dr|23300|23398|Meadows|Placerita JH|Hart HS
Alta Madera - Odd Numbers|Dr|23333|23301|Meadows|Placerita JH|Hart HS
Alta Madera - Odd Numbers|Dr|23335|23399|Valencia Valley|Placerita JH|Hart HS
Alta Vista|Av|27800|28783|Bridgeport|Rio Norte JH|Valencia HS
Altair|Ln|22100|22199|Santa Clarita|Rio Norte JH|Valencia HS
Altamere|Av|27304|27358|Canyon Springs|Sierra Vista JH|Canyon HS
Altamonte|Av|0|0|Meadows|Placerita JH|Hart HS
Altena|Dr|21101|21319|Rosedell|Arroyo Seco JH|Saugus HS
Alton|Wy|28017|28349|Live Oak|Castaic MS|Castaic HS
Altos|Dr|25400|25441|Old Orchard|Placerita JH|Hart HS
Alyssa|Dr|19600|19839|Valley View|La Mesa JH|Golden Valley HS
Alyssum|Ln|29500|29514|Pinetree|Sierra Vista JH|Canyon HS
Alyssum|Pl|24300|24387|Bridgeport|Rio Norte JH|Valencia HS
Amable|Ct|26050|26089|Valencia Valley|Placerita JH|Hart HS
Amaryllis|Ct|24200|24215|Bridgeport|Rio Norte JH|Valencia HS
Amber|Wy|27722|27727|Leona Cox|Sierra Vista JH|Canyon HS
Amber Ridge|Rd|0|0|Sulphur Springs|Sierra Vista JH|Canyon HS
Amberley|Wy|25128|25149|Newhall|Placerita JH|Hart HS
Amberwood|Ln|27800|27882|Northpark|Rio Norte JH|Valencia HS
Amelia|Ln|24700|24799|Newhall|Placerita JH|Hart HS
American|Av|26200|26299|Valencia Valley|Placerita JH|Hart HS
American Beauty|Dr|18120|18146|Mint Cyn|La Mesa JH|Golden Valley HS
