OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10258|ERNSH|1|17.07.1996|14.08.1996|23.07.1996|1|140.51|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10263|ERNSH|9|23.07.1996|20.08.1996|31.07.1996|3|146.06|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10351|ERNSH|1|11.11.1996|09.12.1996|20.11.1996|1|162.33|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10353|PICCO|7|13.11.1996|11.12.1996|25.11.1996|3|360.63|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10368|ERNSH|2|29.11.1996|27.12.1996|02.12.1996|2|101.95|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10382|ERNSH|4|13.12.1996|10.01.1997|16.12.1996|1|94.77|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10390|ERNSH|6|23.12.1996|20.01.1997|26.12.1996|1|126.38|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10392|PICCO|2|24.12.1996|21.01.1997|01.01.1997|3|122.46|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10402|ERNSH|8|02.01.1997|13.02.1997|10.01.1997|2|67.88|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10403|ERNSH|4|03.01.1997|31.01.1997|09.01.1997|3|73.79|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10427|PICCO|4|27.01.1997|24.02.1997|03.03.1997|2|31.29|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10430|ERNSH|4|30.01.1997|13.02.1997|03.02.1997|1|458.78|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10442|ERNSH|3|11.02.1997|11.03.1997|18.02.1997|2|47.94|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10489|PICCO|6|28.03.1997|25.04.1997|09.04.1997|2|5.29|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10514|ERNSH|3|22.04.1997|20.05.1997|16.05.1997|2|789.95|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10530|PICCO|3|08.05.1997|05.06.1997|12.05.1997|2|339.22|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10571|ERNSH|8|17.06.1997|29.07.1997|04.07.1997|3|26.06|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10595|ERNSH|2|10.07.1997|07.08.1997|14.07.1997|1|96.78|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10597|PICCO|7|11.07.1997|08.08.1997|18.07.1997|3|35.12|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10633|ERNSH|7|15.08.1997|12.09.1997|18.08.1997|3|477.9|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10667|ERNSH|7|12.09.1997|10.10.1997|19.09.1997|1|78.09|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10686|PICCO|2|30.09.1997|28.10.1997|08.10.1997|1|96.5|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10698|ERNSH|4|09.10.1997|06.11.1997|17.10.1997|1|272.47|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10747|PICCO|6|19.11.1997|17.12.1997|26.11.1997|1|117.33|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10764|ERNSH|6|03.12.1997|31.12.1997|08.12.1997|3|145.45|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10771|ERNSH|9|10.12.1997|07.01.1998|02.01.1998|2|11.19|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10773|ERNSH|1|11.12.1997|08.01.1998|16.12.1997|3|96.43|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10776|ERNSH|1|15.12.1997|12.01.1998|18.12.1997|3|351.53|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10795|ERNSH|8|24.12.1997|21.01.1998|20.01.1998|2|126.66|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10836|ERNSH|7|16.01.1998|13.02.1998|21.01.1998|1|411.88|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10844|PICCO|8|21.01.1998|18.02.1998|26.01.1998|2|25.22|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
10854|ERNSH|3|27.01.1998|24.02.1998|05.02.1998|2|100.22|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10895|ERNSH|3|18.02.1998|18.03.1998|23.02.1998|1|162.75|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10968|ERNSH|1|23.03.1998|20.04.1998|01.04.1998|3|74.6|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10979|ERNSH|8|26.03.1998|23.04.1998|31.03.1998|2|353.07|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
10990|ERNSH|2|01.04.1998|13.05.1998|07.04.1998|3|117.61|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
11008|ERNSH|7|08.04.1998|06.05.1998||3|79.46|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
11017|ERNSH|9|13.04.1998|11.05.1998|20.04.1998|2|754.26|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
11053|PICCO|2|27.04.1998|25.05.1998|29.04.1998|2|53.05|Piccolo und mehr|Geislweg 14|Salzburg||5020|Austria
11072|ERNSH|4|05.05.1998|02.06.1998||2|258.64|Ernst Handel|Kirchgasse 6|Graz||8010|Austria
