OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10252|SUPRD|4|09.07.1996|06.08.1996|11.07.1996|2|51.3|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10302|SUPRD|4|10.09.1996|08.10.1996|09.10.1996|2|6.27|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10458|SUPRD|7|26.02.1997|26.03.1997|04.03.1997|3|147.06|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10463|SUPRD|5|04.03.1997|01.04.1997|06.03.1997|3|14.78|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10475|SUPRD|9|14.03.1997|11.04.1997|04.04.1997|1|68.52|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10529|MAISD|5|07.05.1997|04.06.1997|09.05.1997|2|66.69|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
10649|MAISD|5|28.08.1997|25.09.1997|29.08.1997|3|6.2|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
10760|MAISD|4|01.12.1997|29.12.1997|10.12.1997|1|155.64|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
10767|SUPRD|4|05.12.1997|02.01.1998|15.12.1997|3|1.59|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10841|SUPRD|5|20.01.1998|17.02.1998|29.01.1998|2|424.3|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10846|SUPRD|2|22.01.1998|05.03.1998|23.01.1998|3|56.46|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10885|SUPRD|6|12.02.1998|12.03.1998|18.02.1998|3|5.64|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10892|MAISD|4|17.02.1998|17.03.1998|19.02.1998|2|120.27|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
10896|MAISD|7|19.02.1998|19.03.1998|27.02.1998|3|32.45|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
10930|SUPRD|4|06.03.1998|17.04.1998|18.03.1998|3|15.55|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
10978|MAISD|9|26.03.1998|23.04.1998|23.04.1998|2|32.82|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
11004|MAISD|3|07.04.1998|05.05.1998|20.04.1998|1|44.84|Maison Dewey|Rue Joseph-Bens 532|Bruxelles||B-1180|Belgium
11035|SUPRD|2|20.04.1998|18.05.1998|24.04.1998|2|0.17|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
11038|SUPRD|1|21.04.1998|19.05.1998|30.04.1998|2|29.59|Supremes délices|Boulevard Tirou, 255|Charleroi||B-6000|Belgium
