OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10332|MEREP|3|17.10.1996|28.11.1996|21.10.1996|2|52.84|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10339|MEREP|2|28.10.1996|25.11.1996|04.11.1996|2|15.66|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10376|MEREP|1|09.12.1996|06.01.1997|13.12.1996|2|20.39|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10389|BOTTM|4|20.12.1996|17.01.1997|24.12.1996|2|47.42|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10410|BOTTM|3|10.01.1997|07.02.1997|15.01.1997|3|2.4|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10411|BOTTM|9|10.01.1997|07.02.1997|21.01.1997|3|23.65|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10424|MEREP|7|23.01.1997|20.02.1997|27.01.1997|2|370.61|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10431|BOTTM|4|30.01.1997|13.02.1997|07.02.1997|2|44.17|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10439|MEREP|6|07.02.1997|07.03.1997|10.02.1997|3|4.07|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10492|BOTTM|3|01.04.1997|29.04.1997|11.04.1997|1|62.89|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10495|LAUGB|3|03.04.1997|01.05.1997|11.04.1997|3|4.65|Laughing Bacchus Wine Cellars|2319 Elm St.|Vancouver|BC|V3F 2K1|Canada
10505|MEREP|3|14.04.1997|12.05.1997|21.04.1997|3|7.13|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10565|MEREP|8|11.06.1997|09.07.1997|18.06.1997|2|7.15|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10570|MEREP|3|17.06.1997|15.07.1997|19.06.1997|3|188.99|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10590|MEREP|4|07.07.1997|04.08.1997|14.07.1997|3|44.77|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10605|MEREP|1|21.07.1997|18.08.1997|29.07.1997|2|379.13|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10618|MEREP|1|01.08.1997|12.09.1997|08.08.1997|1|154.68|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10619|MEREP|3|04.08.1997|01.09.1997|07.08.1997|3|91.05|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10620|LAUGB|2|05.08.1997|02.09.1997|14.08.1997|3|0.94|Laughing Bacchus Wine Cellars|2319 Elm St.|Vancouver|BC|V3F 2K1|Canada
10724|MEREP|8|30.10.1997|11.12.1997|05.11.1997|2|57.75|Mcre Paillarde|43 rue St. Laurent|Montréal|Québec|H1J 1C3|Canada
10742|BOTTM|3|14.11.1997|12.12.1997|18.11.1997|3|243.73|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10810|LAUGB|2|01.01.1998|29.01.1998|07.01.1998|3|4.33|Laughing Bacchus Wine Cellars|2319 Elm St.|Vancouver|BC|V3F 2K1|Canada
10918|BOTTM|3|02.03.1998|30.03.1998|11.03.1998|3|48.83|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10944|BOTTM|6|12.03.1998|26.03.1998|13.03.1998|3|52.92|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10949|BOTTM|2|13.03.1998|10.04.1998|17.03.1998|3|74.44|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10975|BOTTM|1|25.03.1998|22.04.1998|27.03.1998|3|32.27|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
10982|BOTTM|2|27.03.1998|24.04.1998|08.04.1998|1|14.01|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
11027|BOTTM|1|16.04.1998|14.05.1998|20.04.1998|1|52.52|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
11045|BOTTM|6|23.04.1998|21.05.1998||2|70.58|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
11048|BOTTM|7|24.04.1998|22.05.1998|30.04.1998|3|24.12|Bottom-Dollar Markets|23 Tsawassen Blvd.|Tsawassen|BC|T2F 8M4|Canada
