OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10248|VINET|5|04.07.1996|01.08.1996|16.07.1996|3|32.38|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France
10251|VICTE|3|08.07.1996|05.08.1996|15.07.1996|1|41.34|Victuailles en stock|2, rue du Commerce|Lyon||69004|France
10265|BLONP|2|25.07.1996|22.08.1996|12.08.1996|1|55.28|Blondel pcre et fils|24, place Kléber|Strasbourg||67000|France
10274|VINET|6|06.08.1996|03.09.1996|16.08.1996|1|6.01|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France
10295|VINET|2|02.09.1996|30.09.1996|10.09.1996|2|1.15|Vins et alcools Chevalier|59 rue de l'Abbaye|Reims||51100|France
10297|BLONP|5|04.09.1996|16.10.1996|10.09.1996|2|5.74|Blondel pcre et fils|24, place Kléber|Strasbourg||67000|France
10311|DUMON|1|20.09.1996|04.10.1996|26.09.1996|3|24.69|Du monde entier|67, rue des Cinquante Otages|Nantes||44000|France
10331|BONAP|9|16.10.1996|27.11.1996|21.10.1996|1|10.19|Bon app'|12, rue des Bouchers|Marseille||13008|France
10334|VICTE|8|21.10.1996|18.11.1996|28.10.1996|2|8.56|Victuailles en stock|2, rue du Commerce|Lyon||69004|France
10340|BONAP|1|29.10.1996|26.11.1996|08.11.1996|3|166.31|Bon app'|12, rue des Bouchers|Marseille||13008|France
10350|LAMAI|6|11.11.1996|09.12.1996|03.12.1996|2|64.19|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10358|LAMAI|5|20.11.1996|18.12.1996|27.11.1996|1|19.64|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10360|BLONP|4|22.11.1996|20.12.1996|02.12.1996|3|131.7|Blondel pcre et fils|24, place Kléber|Strasbourg||67000|France
10362|BONAP|3|25.11.1996|23.12.1996|28.11.1996|1|96.04|Bon app'|12, rue des Bouchers|Marseille||13008|France
10371|LAMAI|1|03.12.1996|31.12.1996|24.12.1996|1|0.45|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10408|FOLIG|8|08.01.1997|05.02.1997|14.01.1997|1|11.26|Folies gourmandes|184, chaussée de Tournai|Lille||59000|France
10413|LAMAI|3|14.01.1997|11.02.1997|16.01.1997|2|95.66|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10425|LAMAI|6|24.01.1997|21.02.1997|14.02.1997|2|7.93|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10436|BLONP|3|05.02.1997|05.03.1997|11.02.1997|2|156.66|Blondel pcre et fils|24, place Kléber|Strasbourg||67000|France
10449|BLONP|3|18.02.1997|18.03.1997|27.02.1997|2|53.3|Blondel pcre et fils|24, place Kléber|Strasbourg||67000|France
10450|VICTE|8|19.02.1997|19.03.1997|11.03.1997|2|7.23|Victuailles en stock|2, rue du Commerce|Lyon||69004|France
10454|LAMAI|4|21.02.1997|21.03.1997|25.02.1997|3|2.74|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10459|VICTE|4|27.02.1997|27.03.1997|28.02.1997|2|25.09|Victuailles en stock|2, rue du Commerce|Lyon||69004|France
10470|BONAP|4|11.03.1997|08.04.1997|14.03.1997|2|64.56|Bon app'|12, rue des Bouchers|Marseille||13008|France
10478|VICTE|2|18.03.1997|01.04.1997|26.03.1997|3|4.8100000000000005|Victuailles en stock|2, rue du Commerce|Lyon||69004|France
10480|FOLIG|6|20.03.1997|17.04.1997|24.03.1997|2|1.35|Folies gourmandes|184, chaussée de Tournai|Lille||59000|France
10493|LAMAI|4|02.04.1997|30.04.1997|10.04.1997|3|10.64|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10500|LAMAI|6|09.04.1997|07.05.1997|17.04.1997|1|42.68|La maison d'Asie|1 rue Alsace-Lorraine|Toulouse||31000|France
10511|BONAP|4|18.04.1997|16.05.1997|21.04.1997|3|350.64|Bon app'|12, rue des Bouchers|Marseille||13008|France
10525|BONAP|1|02.05.1997|30.05.1997|23.05.1997|2|11.06|Bon app'|12, rue des Bouchers|Marseille||13008|France
