OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10249|TOMSP|6|05.07.1996|16.08.1996|10.07.1996|1|11.61|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Germany
10260|OTTIK|4|19.07.1996|16.08.1996|29.07.1996|1|55.09|Ottilies Käseladen|Mehrheimerstr. 369|Köln||50739|Germany
10267|FRANK|4|29.07.1996|26.08.1996|06.08.1996|1|208.58|Frankenversand|Berliner Platz 43|München||80805|Germany
10273|QUICK|3|05.08.1996|02.09.1996|12.08.1996|3|76.07|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10277|MORGK|2|09.08.1996|06.09.1996|13.08.1996|3|125.77|Morgenstern Gesundkost|Heerstr. 22|Leipzig||04179|Germany
10279|LEHMS|8|13.08.1996|10.09.1996|16.08.1996|2|25.83|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M.||60528|Germany
10284|LEHMS|4|19.08.1996|16.09.1996|27.08.1996|1|76.56|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M.||60528|Germany
10285|QUICK|1|20.08.1996|17.09.1996|26.08.1996|2|76.83|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10286|QUICK|8|21.08.1996|18.09.1996|30.08.1996|3|229.24|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10301|WANDK|8|09.09.1996|07.10.1996|17.09.1996|2|45.08|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Germany
10312|WANDK|2|23.09.1996|21.10.1996|03.10.1996|2|40.26|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Germany
10313|QUICK|2|24.09.1996|22.10.1996|04.10.1996|2|1.9600000000000002|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10323|KOENE|4|07.10.1996|04.11.1996|14.10.1996|1|4.88|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Germany
10325|KOENE|1|09.10.1996|23.10.1996|14.10.1996|3|64.86|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Germany
10337|FRANK|4|24.10.1996|21.11.1996|29.10.1996|3|108.26|Frankenversand|Berliner Platz 43|München||80805|Germany
10342|FRANK|4|30.10.1996|13.11.1996|04.11.1996|2|54.83|Frankenversand|Berliner Platz 43|München||80805|Germany
10343|LEHMS|4|31.10.1996|28.11.1996|06.11.1996|1|110.37|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M.||60528|Germany
10345|QUICK|2|04.11.1996|02.12.1996|11.11.1996|2|249.06|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10348|WANDK|4|07.11.1996|05.12.1996|15.11.1996|2|0.78|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Germany
10356|WANDK|6|18.11.1996|16.12.1996|27.11.1996|2|36.71|Die Wandernde Kuh|Adenauerallee 900|Stuttgart||70563|Germany
10361|QUICK|1|22.11.1996|20.12.1996|03.12.1996|2|183.17|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10363|DRACD|4|26.11.1996|24.12.1996|04.12.1996|3|30.54|Drachenblut Delikatessen|Walserweg 21|Aachen||52066|Germany
10391|DRACD|3|23.12.1996|20.01.1997|31.12.1996|3|5.45|Drachenblut Delikatessen|Walserweg 21|Aachen||52066|Germany
10396|FRANK|1|27.12.1996|10.01.1997|06.01.1997|3|135.35|Frankenversand|Berliner Platz 43|München||80805|Germany
10407|OTTIK|2|07.01.1997|04.02.1997|30.01.1997|2|91.48|Ottilies Käseladen|Mehrheimerstr. 369|Köln||50739|Germany
10418|QUICK|4|17.01.1997|14.02.1997|24.01.1997|1|17.55|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10438|TOMSP|3|06.02.1997|06.03.1997|14.02.1997|2|8.24|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Germany
10446|TOMSP|6|14.02.1997|14.03.1997|19.02.1997|1|14.68|Toms Spezialitäten|Luisenstr. 48|Münster||44087|Germany
10451|QUICK|4|19.02.1997|05.03.1997|12.03.1997|3|189.09|QUICK-Stop|Taucherstraße 10|Cunewalde||01307|Germany
10456|KOENE|8|25.02.1997|08.04.1997|28.02.1997|2|8.12|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Germany
10457|KOENE|2|25.02.1997|25.03.1997|03.03.1997|1|11.57|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Germany
10468|KOENE|3|07.03.1997|04.04.1997|12.03.1997|3|44.12|Königlich Essen|Maubelstr. 90|Brandenburg||14776|Germany
10488|FRANK|8|27.03.1997|24.04.1997|02.04.1997|2|4.93|Frankenversand|Berliner Platz 43|München||80805|Germany
10497|LEHMS|7|04.04.1997|02.05.1997|07.04.1997|1|36.21|Lehmanns Marktstand|Magazinweg 7|Frankfurt a.M.||60528|Germany
