OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10275|MAGAA|1|07.08.1996|04.09.1996|09.08.1996|1|26.93|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10288|REGGC|4|23.08.1996|20.09.1996|03.09.1996|1|7.45|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10300|MAGAA|2|09.09.1996|07.10.1996|18.09.1996|2|17.68|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10404|MAGAA|2|03.01.1997|31.01.1997|08.01.1997|1|155.97|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10422|FRANS|2|22.01.1997|19.02.1997|31.01.1997|1|3.02|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italy
10428|REGGC|7|28.01.1997|25.02.1997|04.02.1997|1|11.09|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10443|REGGC|8|12.02.1997|12.03.1997|14.02.1997|1|13.95|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10467|MAGAA|8|06.03.1997|03.04.1997|11.03.1997|2|4.93|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10562|REGGC|1|09.06.1997|07.07.1997|12.06.1997|1|22.95|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10586|REGGC|9|02.07.1997|30.07.1997|09.07.1997|1|0.48000000000000004|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10635|MAGAA|8|18.08.1997|15.09.1997|21.08.1997|3|47.46|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10655|REGGC|1|03.09.1997|01.10.1997|11.09.1997|2|4.41|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10710|FRANS|1|20.10.1997|17.11.1997|23.10.1997|1|4.98|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italy
10727|REGGC|2|03.11.1997|01.12.1997|05.12.1997|1|89.9|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10753|FRANS|3|25.11.1997|23.12.1997|27.11.1997|1|7.7|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italy
10754|MAGAA|6|25.11.1997|23.12.1997|27.11.1997|3|2.38|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10784|MAGAA|4|18.12.1997|15.01.1998|22.12.1997|3|70.09|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10807|FRANS|4|31.12.1997|28.01.1998|30.01.1998|1|1.36|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italy
10812|REGGC|5|02.01.1998|30.01.1998|12.01.1998|1|59.78|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10818|MAGAA|7|07.01.1998|04.02.1998|12.01.1998|3|65.48|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10908|REGGC|4|26.02.1998|26.03.1998|06.03.1998|2|32.96|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10939|MAGAA|2|10.03.1998|07.04.1998|13.03.1998|2|76.33|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
10942|REGGC|9|11.03.1998|08.04.1998|18.03.1998|3|17.95|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
10950|MAGAA|1|16.03.1998|13.04.1998|23.03.1998|2|2.5|Magazzini Alimentari Riuniti|Via Ludovico il Moro 22|Bergamo||24100|Italy
11010|REGGC|2|09.04.1998|07.05.1998|21.04.1998|2|28.71|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
11026|FRANS|4|15.04.1998|13.05.1998|28.04.1998|1|47.09|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italy
11060|FRANS|2|30.04.1998|28.05.1998|04.05.1998|2|10.98|Franchi S.p.A.|Via Monte Bianco 34|Torino||10100|Italy
11062|REGGC|4|30.04.1998|28.05.1998||2|29.93|Reggiani Caseifici|Strada Provinciale 124|Reggio Emilia||42100|Italy
