OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10259|CENTC|4|18.07.1996|15.08.1996|25.07.1996|3|3.25|Centro comercial Moctezuma|Sierras de Granada 9993|México D.F.||05022|Mexico
10276|TORTU|8|08.08.1996|22.08.1996|14.08.1996|3|13.84|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10293|TORTU|1|29.08.1996|26.09.1996|11.09.1996|3|21.18|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10304|TORTU|1|12.09.1996|10.10.1996|17.09.1996|2|63.79|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10308|ANATR|7|18.09.1996|16.10.1996|24.09.1996|3|1.61|Ana Trujillo Emparedados y helados|Avda. de la Constitución 2222|México D.F.||05021|Mexico
10319|TORTU|7|02.10.1996|30.10.1996|11.10.1996|3|64.5|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10322|PERIC|7|04.10.1996|01.11.1996|23.10.1996|3|0.4|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico
10354|PERIC|8|14.11.1996|12.12.1996|20.11.1996|3|53.8|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico
10365|ANTON|3|27.11.1996|25.12.1996|02.12.1996|2|22.0|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10474|PERIC|5|13.03.1997|10.04.1997|21.03.1997|2|83.49|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico
10502|PERIC|2|10.04.1997|08.05.1997|29.04.1997|1|69.32|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico
10507|ANTON|7|15.04.1997|13.05.1997|22.04.1997|1|47.45|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10518|TORTU|4|25.04.1997|09.05.1997|05.05.1997|2|218.15|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10535|ANTON|4|13.05.1997|10.06.1997|21.05.1997|1|15.64|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10573|ANTON|7|19.06.1997|17.07.1997|20.06.1997|3|84.84|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10576|TORTU|3|23.06.1997|07.07.1997|30.06.1997|3|18.56|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10625|ANATR|3|08.08.1997|05.09.1997|14.08.1997|1|43.9|Ana Trujillo Emparedados y helados|Avda. de la Constitución 2222|México D.F.||05021|Mexico
10676|TORTU|2|22.09.1997|20.10.1997|29.09.1997|2|2.01|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10677|ANTON|1|22.09.1997|20.10.1997|26.09.1997|3|4.03|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10682|ANTON|3|25.09.1997|23.10.1997|01.10.1997|2|36.13|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10759|ANATR|3|28.11.1997|26.12.1997|12.12.1997|3|11.99|Ana Trujillo Emparedados y helados|Avda. de la Constitución 2222|México D.F.||05021|Mexico
10842|TORTU|1|20.01.1998|17.02.1998|29.01.1998|3|54.42|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10856|ANTON|3|28.01.1998|25.02.1998|10.02.1998|2|58.43|Antonio Moreno Taquería|Mataderos  2312|México D.F.||05023|Mexico
10915|TORTU|2|27.02.1998|27.03.1998|02.03.1998|2|3.51|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
10926|ANATR|4|04.03.1998|01.04.1998|11.03.1998|3|39.92|Ana Trujillo Emparedados y helados|Avda. de la Constitución 2222|México D.F.||05021|Mexico
10995|PERIC|1|02.04.1998|30.04.1998|06.04.1998|3|46.0|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico
11069|TORTU|1|04.05.1998|01.06.1998|06.05.1998|2|15.67|Tortuga Restaurante|Avda. Azteca 123|México D.F.||05033|Mexico
11073|PERIC|2|05.05.1998|02.06.1998||2|24.95|Pericles Comidas clásicas|Calle Dr. Jorge Cash 321|México D.F.||05033|Mexico
