OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10328|FURIB|4|14.10.1996|11.11.1996|17.10.1996|3|87.03|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10336|PRINI|7|23.10.1996|20.11.1996|25.10.1996|2|15.51|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
10352|FURIB|3|12.11.1996|26.11.1996|18.11.1996|3|1.3|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10397|PRINI|5|27.12.1996|24.01.1997|02.01.1997|1|60.26|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
10433|PRINI|3|03.02.1997|03.03.1997|04.03.1997|3|73.83|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
10464|FURIB|4|04.03.1997|01.04.1997|14.03.1997|2|89.0|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10477|PRINI|5|17.03.1997|14.04.1997|25.03.1997|2|13.02|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
10491|FURIB|8|31.03.1997|28.04.1997|08.04.1997|3|16.96|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10551|FURIB|4|28.05.1997|09.07.1997|06.06.1997|3|72.95|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10604|FURIB|1|18.07.1997|15.08.1997|29.07.1997|1|7.46|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10664|FURIB|1|10.09.1997|08.10.1997|19.09.1997|3|1.27|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
10963|FURIB|9|19.03.1998|16.04.1998|26.03.1998|3|2.7|Furia Bacalhau e Frutos do Mar|Jardim das rosas n. 32|Lisboa||1675|Portugal
11007|PRINI|8|08.04.1998|06.05.1998|13.04.1998|2|202.24|Princesa Isabel Vinhos|Estrada da saúde n. 58|Lisboa||1756|Portugal
