OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10281|ROMEY|4|14.08.1996|28.08.1996|21.08.1996|1|2.94|Romero y tomillo|Gran Vía, 1|Madrid||28001|Spain
10282|ROMEY|4|15.08.1996|12.09.1996|21.08.1996|1|12.69|Romero y tomillo|Gran Vía, 1|Madrid||28001|Spain
10303|GODOS|7|11.09.1996|09.10.1996|18.09.1996|2|107.83|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10306|ROMEY|1|16.09.1996|14.10.1996|23.09.1996|3|7.56|Romero y tomillo|Gran Vía, 1|Madrid||28001|Spain
10326|BOLID|4|10.10.1996|07.11.1996|14.10.1996|2|77.92|Bólido Comidas preparadas|C/ Araquil, 67|Madrid||28023|Spain
10366|GALED|8|28.11.1996|09.01.1997|30.12.1996|2|10.14|Galería del gastronómo|Rambla de Cataluna, 23|Barcelona||8022|Spain
10426|GALED|4|27.01.1997|24.02.1997|06.02.1997|1|18.69|Galería del gastronómo|Rambla de Cataluna, 23|Barcelona||8022|Spain
10550|GODOS|7|28.05.1997|25.06.1997|06.06.1997|3|4.32|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10568|GALED|3|13.06.1997|11.07.1997|09.07.1997|3|6.54|Galería del gastronómo|Rambla de Cataluna, 23|Barcelona||8022|Spain
10629|GODOS|4|12.08.1997|09.09.1997|20.08.1997|3|85.46|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10801|BOLID|4|29.12.1997|26.01.1998|31.12.1997|2|97.09|Bólido Comidas preparadas|C/ Araquil, 67|Madrid||28023|Spain
10872|GODOS|5|05.02.1998|05.03.1998|09.02.1998|2|175.32|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10874|GODOS|5|06.02.1998|06.03.1998|11.02.1998|2|19.58|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10887|GALED|8|13.02.1998|13.03.1998|16.02.1998|3|1.25|Galería del gastronómo|Rambla de Cataluna, 23|Barcelona||8022|Spain
10888|GODOS|1|16.02.1998|16.03.1998|23.02.1998|2|51.87|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10911|GODOS|3|26.02.1998|26.03.1998|05.03.1998|1|38.19|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10917|ROMEY|4|02.03.1998|30.03.1998|11.03.1998|2|8.29|Romero y tomillo|Gran Vía, 1|Madrid||28001|Spain
10928|GALED|1|05.03.1998|02.04.1998|18.03.1998|1|1.36|Galería del gastronómo|Rambla de Cataluna, 23|Barcelona||8022|Spain
10948|GODOS|3|13.03.1998|10.04.1998|19.03.1998|3|23.39|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
10970|BOLID|9|24.03.1998|07.04.1998|24.04.1998|1|16.16|Bólido Comidas preparadas|C/ Araquil, 67|Madrid||28023|Spain
11009|GODOS|2|08.04.1998|06.05.1998|10.04.1998|1|59.11|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
11013|ROMEY|2|09.04.1998|07.05.1998|10.04.1998|1|32.99|Romero y tomillo|Gran Vía, 1|Madrid||28001|Spain
11037|GODOS|7|21.04.1998|19.05.1998|27.04.1998|1|3.2|Godos Cocina Típica|C/ Romero, 33|Sevilla||41101|Spain
