OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10264|FOLKO|6|24.07.1996|21.08.1996|23.08.1996|3|3.67|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10278|BERGS|8|12.08.1996|09.09.1996|16.08.1996|2|92.69|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10280|BERGS|2|14.08.1996|11.09.1996|12.09.1996|1|8.98|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10327|FOLKO|2|11.10.1996|08.11.1996|14.10.1996|1|63.36|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10378|FOLKO|5|10.12.1996|07.01.1997|19.12.1996|3|5.44|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10384|BERGS|3|16.12.1996|13.01.1997|20.12.1996|3|168.64|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10434|FOLKO|3|03.02.1997|03.03.1997|13.02.1997|2|17.92|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10444|BERGS|3|12.02.1997|12.03.1997|21.02.1997|3|3.5|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10445|BERGS|3|13.02.1997|13.03.1997|20.02.1997|1|9.3|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10460|FOLKO|8|28.02.1997|28.03.1997|03.03.1997|1|16.27|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10524|BERGS|1|01.05.1997|29.05.1997|07.05.1997|2|244.79|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10533|FOLKO|8|12.05.1997|09.06.1997|22.05.1997|1|188.04|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10561|FOLKO|2|06.06.1997|04.07.1997|09.06.1997|2|242.21|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10572|BERGS|3|18.06.1997|16.07.1997|25.06.1997|2|116.43|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10626|BERGS|1|11.08.1997|08.09.1997|20.08.1997|2|138.69|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10654|BERGS|5|02.09.1997|30.09.1997|11.09.1997|1|55.26|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10672|BERGS|9|17.09.1997|01.10.1997|26.09.1997|2|95.75|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10689|BERGS|1|01.10.1997|29.10.1997|07.10.1997|2|13.42|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10703|FOLKO|6|14.10.1997|11.11.1997|20.10.1997|2|152.3|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10733|BERGS|1|07.11.1997|05.12.1997|10.11.1997|3|110.11|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10762|FOLKO|3|02.12.1997|30.12.1997|09.12.1997|1|328.74|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10774|FOLKO|4|11.12.1997|25.12.1997|12.12.1997|1|48.2|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10778|BERGS|3|16.12.1997|13.01.1998|24.12.1997|1|6.79|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10824|FOLKO|8|09.01.1998|06.02.1998|30.01.1998|1|1.23|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10837|BERGS|9|16.01.1998|13.02.1998|23.01.1998|3|13.32|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10857|BERGS|8|28.01.1998|25.02.1998|06.02.1998|2|188.85|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10866|BERGS|5|03.02.1998|03.03.1998|12.02.1998|1|109.11|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10875|BERGS|4|06.02.1998|06.03.1998|03.03.1998|2|32.37|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10880|FOLKO|7|10.02.1998|24.03.1998|18.02.1998|1|88.01|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10902|FOLKO|1|23.02.1998|23.03.1998|03.03.1998|1|44.15|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10924|BERGS|3|04.03.1998|01.04.1998|08.04.1998|2|151.52|Berglunds snabbköp|Berguvsvägen  8|Lulea||S-958 22|Sweden
10955|FOLKO|8|17.03.1998|14.04.1998|20.03.1998|2|3.26|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10977|FOLKO|8|26.03.1998|23.04.1998|10.04.1998|3|208.5|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10980|FOLKO|4|27.03.1998|08.05.1998|17.04.1998|1|1.26|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
10993|FOLKO|7|01.04.1998|29.04.1998|10.04.1998|3|8.81|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
11001|FOLKO|2|06.04.1998|04.05.1998|14.04.1998|2|197.3|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
11050|FOLKO|8|27.04.1998|25.05.1998|05.05.1998|2|59.41|Folk och fä HB|Akergatan 24|Bräcke||S-844 67|Sweden
