OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10262|RATTC|8|22.07.1996|19.08.1996|25.07.1996|3|48.29|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|USA
10269|WHITC|5|31.07.1996|14.08.1996|09.08.1996|1|4.56|White Clover Markets|1029 - 12th Ave. S.|Seattle|WA|98124|USA
10271|SPLIR|6|01.08.1996|29.08.1996|30.08.1996|2|4.54|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|USA
10272|RATTC|6|02.08.1996|30.08.1996|06.08.1996|2|98.03|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|USA
10294|RATTC|4|30.08.1996|27.09.1996|05.09.1996|2|147.26|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|USA
10305|OLDWO|8|13.09.1996|11.10.1996|09.10.1996|3|257.62|Old World Delicatessen|2743 Bering St.|Anchorage|AK|99508|USA
10307|LONEP|2|17.09.1996|15.10.1996|25.09.1996|2|0.56|Lonesome Pine Restaurant|89 Chiaroscuro Rd.|Portland|OR|97219|USA
10310|THEBI|8|20.09.1996|18.10.1996|27.09.1996|2|17.52|The Big Cheese|89 Jefferson WaySuite 2|Portland|OR|97201|USA
10314|RATTC|1|25.09.1996|23.10.1996|04.10.1996|2|74.16|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|USA
10316|RATTC|1|27.09.1996|25.10.1996|08.10.1996|3|150.15|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|USA
10317|LONEP|6|30.09.1996|28.10.1996|10.10.1996|1|12.69|Lonesome Pine Restaurant|89 Chiaroscuro Rd.|Portland|OR|97219|USA
10324|SAVEA|9|08.10.1996|05.11.1996|10.10.1996|1|214.27|Save-a-lot Markets|187 Suffolk Ln.|Boise|ID|83720|USA
10329|SPLIR|4|15.10.1996|26.11.1996|23.10.1996|2|191.67|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|USA
10338|OLDWO|4|25.10.1996|22.11.1996|29.10.1996|3|84.21|Old World Delicatessen|2743 Bering St.|Anchorage|AK|99508|USA
10344|WHITC|4|01.11.1996|29.11.1996|05.11.1996|2|23.29|White Clover Markets|1029 - 12th Ave. S.|Seattle|WA|98124|USA
10346|RATTC|3|05.11.1996|17.12.1996|08.11.1996|3|142.08|Rattlesnake Canyon Grocery|2817 Milton Dr.|Albuquerque|NM|87110|USA
10349|SPLIR|7|08.11.1996|06.12.1996|15.11.1996|1|8.63|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|USA
10369|SPLIR|8|02.12.1996|30.12.1996|09.12.1996|2|195.68|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|USA
10375|HUNGC|3|06.12.1996|03.01.1997|09.12.1996|2|20.12|Hungry Coyote Import Store|City Center Plaza516 Main St.|Elgin|OR|97827|USA
10385|SPLIR|1|17.12.1996|14.01.1997|23.12.1996|2|30.96|Split Rail Beer & Ale|P.O. Box 555|Lander|WY|82520|USA
10393|SAVEA|1|25.12.1996|22.01.1997|03.01.1997|3|126.56|Save-a-lot Markets|187 Suffolk Ln.|Boise|ID|83720|USA
10394|HUNGC|1|25.12.1996|22.01.1997|03.01.1997|3|30.34|Hungry Coyote Import Store|City Center Plaza516 Main St.|Elgin|OR|97827|USA
10398|SAVEA|2|30.12.1996|27.01.1997|09.01.1997|3|89.16|Save-a-lot Markets|187 Suffolk Ln.|Boise|ID|83720|USA
