OrderID|CustomerID|EmployeeID|OrderDate|RequiredDate|ShippedDate|ShipVia|Freight|ShipName|ShipAddress|ShipCity|ShipRegion|ShipPostalCode|ShipCountry
10257|HILAA|4|16.07.1996|13.08.1996|22.07.1996|3|81.91|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10268|GROSR|8|30.07.1996|27.08.1996|02.08.1996|3|66.29|GROSELLA-Restaurante|5a Ave. Los Palos Grandes|Caracas|DF|1081|Venezuela
10283|LILAS|3|16.08.1996|13.09.1996|23.08.1996|3|84.81|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10296|LILAS|6|03.09.1996|01.10.1996|11.09.1996|1|0.12000000000000001|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10330|LILAS|3|16.10.1996|13.11.1996|28.10.1996|1|12.75|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10357|LILAS|1|19.11.1996|17.12.1996|02.12.1996|3|34.88|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10381|LILAS|3|12.12.1996|09.01.1997|13.12.1996|3|7.99|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10395|HILAA|6|26.12.1996|23.01.1997|03.01.1997|1|184.41|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10405|LINOD|1|06.01.1997|03.02.1997|22.01.1997|1|34.82|LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|4980|Venezuela
10461|LILAS|1|28.02.1997|28.03.1997|05.03.1997|3|148.61|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10476|HILAA|8|17.03.1997|14.04.1997|24.03.1997|3|4.41|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10485|LINOD|4|25.03.1997|08.04.1997|31.03.1997|2|64.45|LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|4980|Venezuela
10486|HILAA|1|26.03.1997|23.04.1997|02.04.1997|2|30.53|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10490|HILAA|7|31.03.1997|28.04.1997|03.04.1997|2|210.19|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10498|HILAA|8|07.04.1997|05.05.1997|11.04.1997|2|29.75|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10499|LILAS|4|08.04.1997|06.05.1997|16.04.1997|2|102.02|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10543|LILAS|8|21.05.1997|18.06.1997|23.05.1997|2|48.17|LILA-Supermercado|Carrera 52 con Ave. Bolívar #65-98 Llano Largo|Barquisimeto|Lara|3508|Venezuela
10552|HILAA|2|29.05.1997|26.06.1997|05.06.1997|1|83.22|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10601|HILAA|7|16.07.1997|27.08.1997|22.07.1997|1|58.3|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10613|HILAA|4|29.07.1997|26.08.1997|01.08.1997|2|8.11|HILARIÓN-Abastos|Carrera 22 con Ave. Carlos Soublette #8-35|San Cristóbal|Táchira|5022|Venezuela
10638|LINOD|3|20.08.1997|17.09.1997|01.09.1997|1|158.44|LINO-Delicateses|Ave. 5 de Mayo Porlamar|I. de Margarita|Nueva Esparta|4980|Venezuela
