+-------+----------+-------------+-------------+-------------+---------------+--------------+----------+----------+-----------------------------+---------------------------------------------+-----------------+-------------+-----------------+--------------+
|Record |OrderID   |CustomerID   |EmployeeID   |OrderDate    |RequiredDate   |ShippedDate   |ShipVia   |Freight   |ShipName                     |ShipAddress                                  |ShipCity         |ShipRegion   |ShipPostalCode   |ShipCountry   |
+-------+----------+-------------+-------------+-------------+---------------+--------------+----------+----------+-----------------------------+---------------------------------------------+-----------------+-------------+-----------------+--------------+
|# 1    |10248     |VINET        |5            |04.07.1996   |01.08.1996     |16.07.1996    |3         |32        |Vins et alcools Chevalier    |59 rue de l'Abbaye                           |Reims            |             |51100            |France        |
|# 2    |10249     |TOMSP        |6            |05.07.1996   |16.08.1996     |10.07.1996    |1         |12        |Toms Spezialitäten           |Luisenstr. 48                                |Münster          |             |44087            |Germany       |
|# 3    |10250     |HANAR        |4            |08.07.1996   |05.08.1996     |12.07.1996    |2         |66        |Hanari Carnes                |Rua do Paço, 67                              |Rio de Janeiro   |RJ           |05454-876        |Brazil        |
|# 4    |10251     |VICTE        |3            |08.07.1996   |05.08.1996     |15.07.1996    |1         |41        |Victuailles en stock         |2, rue du Commerce                           |Lyon             |             |69004            |France        |
|# 5    |10252     |SUPRD        |4            |09.07.1996   |06.08.1996     |11.07.1996    |2         |51        |Suprêmes délices             |Boulevard Tirou, 255                         |Charleroi        |             |B-6000           |Belgium       |
|# 6    |10253     |HANAR        |3            |10.07.1996   |24.07.1996     |16.07.1996    |2         |58        |Hanari Carnes                |Rua do Paço, 67                              |Rio de Janeiro   |RJ           |05454-876        |Brazil        |
|# 7    |10254     |CHOPS        |5            |11.07.1996   |08.08.1996     |23.07.1996    |2         |23        |Chop-suey Chinese            |Hauptstr. 31                                 |Bern             |             |3012             |Switzerland   |
|# 8    |10255     |RICSU        |9            |12.07.1996   |09.08.1996     |15.07.1996    |3         |148       |Richter Supermarkt           |Starenweg 5                                  |Genève           |             |1204             |Switzerland   |
|# 9    |10256     |WELLI        |3            |15.07.1996   |12.08.1996     |17.07.1996    |2         |14        |Wellington Importadora       |Rua do Mercado, 12                           |Resende          |SP           |08737-363        |Brazil        |
|# 10   |10257     |HILAA        |4            |16.07.1996   |13.08.1996     |22.07.1996    |3         |82        |HILARIÓN-Abastos             |Carrera 22 con Ave. Carlos Soublette #8-35   |San Cristóbal    |Táchira      |5022             |Venezuela     |
|# 11   |10258     |ERNSH        |1            |17.07.1996   |14.08.1996     |23.07.1996    |1         |141       |Ernst Handel                 |Kirchgasse 6                                 |Graz             |             |8010             |Austria       |
|# 12   |10259     |CENTC        |4            |18.07.1996   |15.08.1996     |25.07.1996    |3         |3         |Centro comercial Moctezuma   |Sierras de Granada 9993                      |México D.F.      |             |05022            |Mexico        |
|# 13   |10260     |OTTIK        |4            |19.07.1996   |16.08.1996     |29.07.1996    |1         |55        |Ottilies Käseladen           |Mehrheimerstr. 369                           |Köln             |             |50739            |Germany       |
|# 14   |10261     |QUEDE        |4            |19.07.1996   |16.08.1996     |30.07.1996    |2         |3         |Que Delícia                  |Rua da Panificadora, 12                      |Rio de Janeiro   |RJ           |02389-673        |Brazil        |
|# 15   |10262     |RATTC        |8            |22.07.1996   |19.08.1996     |25.07.1996    |3         |48        |Rattlesnake Canyon Grocery   |2817 Milton Dr.                              |Albuquerque      |NM           |87110            |USA           |
